umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,botak_prob
36.0,Laki-laki,Freelance,Manado,9798560.098736651,1,0,66.15919299582578,160.1632311545819,Pantone,1,SMA,0.24353045023929293
30.0,Laki-laki,PNS,Jambi,3957399.1031181323,1,0,60.51858392532629,161.5030357728684,Shoulder & Head,0,S2,0.4005082324934824
42.0,Laki-laki,Pegawai swasta,Tanjungselor,20950877.803700317,0,1,64.18201966042348,157.3224241402571,Moonsilk,0,S1,0.6565506440045885
35.0,Laki-laki,Freelance,Tanjungselor,5323959.209129939,1,0,50.10280990167395,152.018667919569,Merpati,1,S1,0.23912914685162945
63.0,Perempuan,PNS,Denpasar,7519707.967710476,0,1,47.739498137839725,148.7715890718137,Merpati,0,S1,0.7119587338430748
52.0,Laki-laki,PNS,Banda Aceh,6642506.161696374,0,0,49.61016161959689,159.382584596784,Deadbuoy,0,S1,0.4754369248185916
29.0,Laki-laki,Pegawai swasta,Manado,8632513.142190639,1,0,45.13317755964387,154.57838051140632,Moonsilk,0,SMA,0.3569083094336405
25.0,Laki-laki,PNS,Denpasar,4195592.8924015965,1,0,88.76193665028711,179.48716305934772,Shoulder & Head,0,SMP,0.49803667157947235
38.0,Laki-laki,PNS,Tanjungselor,4083720.4481187337,1,0,59.755775212962675,159.81046766617342,Moonsilk,0,SMA,0.45610360992386506
32.0,Perempuan,PNS,Kupang,5777063.788576075,0,0,71.20683362551398,161.78779156480098,Pantone,1,SMA,0.324276402021995
19.0,Laki-laki,PNS,Semarang,2483866.3647225904,1,0,48.74379746524903,160.57928832605734,Pantone,1,SMP,0.4463947965377516
46.0,Perempuan,PNS,Mamuju,3354854.5640865564,1,0,70.75866376406984,165.97413798620468,Merpati,1,S1,0.5317433775303548
40.0,Laki-laki,PNS,Bandung,2906030.553999832,0,0,52.753723989333025,153.91065063390283,Shoulder & Head,0,S1,0.3465931636397802
49.0,Laki-laki,PNS,Banda Aceh,11781645.846386043,0,0,54.46856056256363,155.6598066556905,Moonsilk,0,S1,0.4033484949991002
25.0,Laki-laki,Pegawai swasta,Bandung,6004733.449363125,1,0,64.02865151286639,151.64057528536125,Merpati,1,SMP,0.4007657076589447
45.0,Laki-laki,Pegawai swasta,Mamuju,9667885.429293992,1,0,69.34342901387589,162.28952809569697,Moonsilk,0,S2,0.4378513674568602
36.0,Laki-laki,Pegawai swasta,Yogyakarta,5253569.65092997,1,0,45.69885050370719,154.45379455505068,Deadbuoy,0,SMA,0.2591967477218189
39.0,Laki-laki,Freelance,Surabaya,5822539.988191972,1,1,51.4499035807612,144.26318998169086,Moonsilk,1,SMA,0.556743305522218
33.0,Perempuan,PNS,Sofifi,7783583.383814104,1,0,57.47869770368902,162.74596988157228,Deadbuoy,1,S1,0.41790220844504633
21.0,Laki-laki,PNS,Jambi,7280025.927146566,0,0,54.36772532746012,160.24749646005986,Pantone,0,S1,0.29958375001491
43.0,Perempuan,PNS,Pontianak,9522521.110326322,1,0,51.28867570395284,158.09897495925307,Shoulder & Head,0,S1,0.5080425498808848
41.0,Perempuan,Freelance,Pangkalpinang,6499326.490489837,1,0,49.056148685180226,152.03731732061317,Merpati,0,SMA,0.21805238438453714
42.0,Laki-laki,PNS,Mamuju,5470245.840186568,0,0,64.41546602277191,172.72719354955186,Moonsilk,1,SMP,0.5326970215236649
32.0,Laki-laki,Pegawai swasta,Mamuju,7586178.637147922,1,1,62.527617752651665,162.9248943403329,Pantone,1,S1,0.6546827583050773
60.0,Laki-laki,PNS,Serang,11631859.746144835,0,1,61.55812466563894,158.13657631326723,Merpati,1,SD,0.9219528899692309
38.0,Laki-laki,Pengangguran,Semarang,5245328.330079693,1,0,53.83955211556045,153.87036270088333,Merpati,0,S2,0.7063332510951875
48.0,Laki-laki,PNS,Bandung,2908155.2142241234,1,0,50.32137226222807,150.0240514236283,Merpati,1,SMA,0.5081580846820378
50.0,Laki-laki,Freelance,Kupang,5025192.110825926,0,0,56.80820853281887,148.57682020276778,Shoulder & Head,0,S1,0.19930800659192652
54.0,Laki-laki,PNS,Jambi,4239303.496942859,1,0,46.997036632160125,157.55192461692153,Merpati,1,S1,0.6419587026279368
41.0,Perempuan,PNS,Mamuju,5541299.062476756,1,0,46.7280988508714,142.7308640395317,Merpati,1,SMA,0.571894940371418
32.0,Laki-laki,Pegawai swasta,Pangkalpinang,11013171.024474755,0,1,62.14701634429079,163.43235545523143,Pantone,1,S1,0.5590840504936335
21.0,Laki-laki,Pegawai swasta,Sofifi,8387540.310437443,0,1,62.24696520389284,155.60358983160594,Pantone,1,S1,0.6060046952708946
37.0,Perempuan,Pegawai swasta,Jambi,25075642.71211299,0,0,54.475972313265224,154.9065456693643,Pantone,0,SMA,0.06990945361008409
32.0,Perempuan,Pegawai swasta,Mamuju,4620183.919781489,0,0,51.751375868263516,159.14664886934025,Deadbuoy,0,SD,0.11841979030577762
29.0,Laki-laki,Pegawai swasta,Tanjung Pinang,5040495.331046598,1,1,50.755095824665844,163.66786761965633,Merpati,1,S1,0.8139847669239377
57.0,Perempuan,PNS,Banda Lampung,12000606.254172321,1,0,50.108132586278685,159.71118273278148,Moonsilk,0,S1,0.4664798760927791
34.0,Perempuan,PNS,Palu,7645594.096359069,1,1,60.37769875393448,164.89197831403087,Shoulder & Head,1,SMA,0.6701720056349378
28.0,Perempuan,Pegawai swasta,Samarinda,10555415.01772962,1,1,44.882499436749015,151.7933423628012,Merpati,1,S1,0.5605924117458687
38.0,Laki-laki,PNS,Makassar,4881576.507904278,0,0,58.45004662214203,144.0529824797443,Pantone,0,S1,0.28557650211877117
52.0,Perempuan,Pegawai swasta,Mataram,4707490.680701073,1,0,52.22270055388912,169.782425221248,Merpati,1,S1,0.48775525786219126
26.0,Laki-laki,PNS,Sofifi,4233646.790751134,1,0,70.48572894197812,158.7207982470143,Moonsilk,0,S1,0.44624804074247554
47.0,Laki-laki,PNS,Mamuju,6920330.981207264,0,0,50.098777086945404,151.42601767126908,Shoulder & Head,1,SMA,0.5306883197826803
50.0,Perempuan,Pegawai swasta,Tanjung Pinang,8143184.178411548,1,0,62.02236544035432,157.8245225084527,Moonsilk,0,S1,0.20452766492276875
47.0,Laki-laki,Pengangguran,Bandung,3149579.9217679864,1,0,56.05561280988939,162.02761110952366,Shoulder & Head,1,S2,0.8168280723875586
21.0,Laki-laki,Pegawai swasta,Kupang,8668545.894428935,0,1,64.6456791772623,156.40367643784037,Moonsilk,1,S1,0.6473328188175795
40.0,Perempuan,PNS,Banda Aceh,6652050.370998524,0,0,68.48106992548752,161.12611257135669,Moonsilk,0,S2,0.1563029866663479
34.0,Laki-laki,Freelance,Padang,4442726.244427576,0,1,62.56833376732675,159.7691801437431,Shoulder & Head,0,SMA,0.3627874693703229
31.0,Laki-laki,PNS,Jayapura,6825865.799004572,1,0,46.785807173483825,156.90690987128158,Moonsilk,1,SMA,0.5679420118969545
30.0,Laki-laki,Pengangguran,Palembang,5897112.2172854785,0,0,54.603415199519276,154.10959960171053,Moonsilk,1,S1,0.7068713337099499
35.0,Laki-laki,Pegawai swasta,Semarang,6062756.376456803,0,0,51.833911199713,158.8899062641155,Merpati,0,S1,0.20445636379747176
41.0,Perempuan,PNS,Tanjungselor,4466845.629488509,1,0,54.209788629540306,154.2362204494423,Moonsilk,1,SD,0.4889981108390594
43.0,Perempuan,Pegawai swasta,Tanjung Pinang,3625311.8643655484,1,0,75.35115521308529,158.3766682033025,Shoulder & Head,1,S1,0.4082312860129258
39.0,Laki-laki,Pegawai swasta,Semarang,9094534.347860403,1,0,44.07860477811295,153.09759373675578,Pantone,1,S1,0.36125157727865037
54.0,Laki-laki,PNS,Pontianak,7818730.383047045,1,0,86.66097897956504,169.67758642038206,Shoulder & Head,0,S1,0.6707226250803279
32.0,Laki-laki,PNS,Surabaya,3194037.043809715,0,0,65.9299758084868,155.79142449063136,Moonsilk,1,SMA,0.475295023323254
36.0,Perempuan,Pegawai swasta,Banda Aceh,4186401.5507715377,0,0,56.860250864883774,157.2798758790439,Pantone,1,SMA,0.2182650838835156
40.0,Laki-laki,PNS,Manado,4292589.895435911,1,0,52.96106057847321,166.276931177455,Shoulder & Head,0,S1,0.3563693101936576
41.0,Laki-laki,Pegawai swasta,Jakarta,2591805.6126098856,0,0,45.07617435683941,159.02188227303,Merpati,0,S1,0.28161720149918235
24.0,Laki-laki,Pegawai swasta,Manado,3425423.760595452,1,0,53.035472824059454,153.1818620836,Merpati,0,S1,0.3351655944856381
38.0,Laki-laki,PNS,Surabaya,7353001.67478766,0,0,64.92870437757436,157.212087498225,Deadbuoy,0,S3,0.3324209765154151
26.0,Laki-laki,Freelance,Ambon,4416031.1980325375,0,0,72.62195053743004,164.17804875071926,Deadbuoy,1,S1,0.22468163040471445
55.0,Laki-laki,Freelance,Jambi,5393400.724896692,1,0,48.349763683151046,156.0931733951037,Moonsilk,0,S1,0.4486369460461929
28.0,Laki-laki,PNS,Pangkalpinang,9807072.465721954,1,0,55.718839078116716,151.267647822906,Shoulder & Head,0,S3,0.5087451150379785
29.0,Perempuan,Freelance,Jakarta,4126747.386381865,1,0,57.99875626698575,159.73755872777124,Deadbuoy,0,SMA,0.0701596939863021
51.0,Laki-laki,Pegawai swasta,Padang,13845457.222701874,0,0,52.461341661599334,154.30833181729858,Moonsilk,0,S1,0.4442003962094842
38.0,Laki-laki,Pegawai swasta,Kendari,6427427.963444929,1,0,65.54213005564604,160.14986101453522,Shoulder & Head,1,S1,0.4100403540683208
40.0,Laki-laki,Pengangguran,Tanjung Pinang,10936474.062966695,0,1,49.34104185071017,149.02228528597297,Shoulder & Head,1,S1,0.9023441557198534
27.0,Perempuan,Pegawai swasta,Jayapura,9153918.633518942,0,1,53.19552723867413,164.64714516069455,Shoulder & Head,1,S1,0.5775281209114234
35.0,Laki-laki,PNS,Palembang,9614065.489532774,0,1,65.82738011635934,160.71283498473446,Shoulder & Head,1,S1,0.7426075010222133
56.0,Laki-laki,Pegawai swasta,Surabaya,6804356.461669931,1,1,48.784136793387404,152.4348911331323,Merpati,1,S1,0.8627630879165185
31.0,Laki-laki,PNS,Samarinda,6154245.840547546,1,1,60.02287188466831,154.07385039402197,Merpati,1,SD,0.7957004516514434
15.0,Laki-laki,PNS,Sofifi,8231400.624698401,1,0,67.62806910336234,165.1295233021122,Shoulder & Head,0,SMA,0.430616505625993
24.0,Laki-laki,Pegawai swasta,Semarang,7705737.320559691,1,0,52.183814467840804,161.01356538504572,Moonsilk,0,S1,0.4023796405852626
38.0,Perempuan,PNS,Semarang,4334917.306229175,0,0,73.33588185769779,161.6633762785721,Pantone,0,S1,0.21339573325196426
33.0,Laki-laki,Freelance,Bengkulu,7571234.908023792,0,1,69.55726896309011,164.80748663167415,Pantone,0,S1,0.3698245115068765
43.0,Perempuan,Pegawai swasta,Surabaya,7204590.39637682,1,1,56.409063721160756,157.96019460858804,Shoulder & Head,1,SD,0.7045974160022649
25.0,Perempuan,Freelance,Pangkalpinang,22490092.231091212,0,1,70.4283038849888,163.5826403437814,Deadbuoy,1,SMA,0.4831027432038914
27.0,Laki-laki,PNS,Palangkaraya,3770207.7262750403,1,0,64.50688238792175,158.28616145269845,Shoulder & Head,1,S1,0.5854893232056712
43.0,Perempuan,PNS,Makassar,13220517.998806939,0,0,60.967409459044006,166.3503469708169,Merpati,0,S1,0.3495072717450231
26.0,Perempuan,Freelance,Mamuju,6734678.836091192,0,0,60.67868223390384,156.9029399940034,Merpati,1,SMP,0.12792455080189435
60.0,Perempuan,PNS,Bengkulu,8046930.080359747,0,0,75.70037438299389,163.41479514994631,Pantone,1,S1,0.520571093994537
41.0,Laki-laki,Pegawai swasta,Tanjungselor,4920189.753347389,1,0,54.17384552174257,168.25266860072247,Moonsilk,1,S1,0.5336372017942853
43.0,Laki-laki,PNS,Kupang,4389245.806925752,0,0,43.61912467659624,154.15566852003622,Pantone,1,S1,0.49594790230450075
30.0,Laki-laki,Freelance,Palu,7214521.137714047,1,0,57.70049022329533,165.48692453934203,Pantone,0,S1,0.21429356418097673
26.0,Perempuan,Pegawai swasta,Medan,4860645.103667056,1,1,50.575498949944624,156.4226109275239,Pantone,0,SMP,0.5441483211249033
39.0,Perempuan,Pegawai swasta,Kendari,6554499.047674982,0,0,55.917932094472675,154.48241724637097,Pantone,0,S1,0.10123112518916125
26.0,Laki-laki,Pegawai swasta,Palangkaraya,8117436.038155474,1,0,57.35053448853364,158.59832085234876,Merpati,0,SMA,0.2977882003943503
46.0,Laki-laki,PNS,Pekanbaru,8063838.2356352005,1,0,57.221271786901795,152.81245079877013,Deadbuoy,1,S1,0.7309152855909401
48.0,Laki-laki,PNS,Palu,11232114.81505601,1,0,64.77237545656003,159.6521257359912,Moonsilk,0,S1,0.4722838038488994
28.0,Laki-laki,PNS,Jambi,6251360.843663448,0,0,57.53890689963964,156.46691590020603,Pantone,1,S1,0.3888723624035479
47.0,Laki-laki,PNS,Surabaya,6523842.682084508,1,1,56.49635925538351,153.9851121746974,Deadbuoy,1,SMA,0.8774677415774886
46.0,Perempuan,Pegawai swasta,Bengkulu,23474954.046375632,1,0,43.08888572983461,149.8636344515441,Merpati,1,S1,0.44312477951021173
42.0,Laki-laki,Freelance,Kupang,3910706.67923341,1,0,71.00959156544947,166.37953828338576,Pantone,1,SMA,0.5107745195594097
35.0,Perempuan,PNS,Jambi,5467520.223826303,0,0,59.67720420687834,158.76502392197156,Merpati,1,SMP,0.38680713662593447
47.0,Laki-laki,Freelance,Kendari,5421705.595107926,1,0,47.26104133751868,157.53546511758174,Pantone,0,S1,0.278972315922552
35.0,Laki-laki,Pegawai swasta,Surabaya,10022221.250333924,0,0,57.61034144640956,149.43684298244722,Shoulder & Head,0,SMA,0.2782374671602378
37.0,Perempuan,Pengangguran,Ambon,6923370.915825986,0,0,79.69484310966939,170.1170662356506,Deadbuoy,0,S1,0.36287891510423287
66.0,Laki-laki,PNS,Jambi,6658908.089700991,0,0,51.437472660962555,150.90674660613504,Merpati,1,S3,0.6063668306154532
34.0,Laki-laki,Pegawai swasta,Palangkaraya,6048273.4772989955,0,0,50.339565711635984,165.29060966291337,Deadbuoy,1,S2,0.2808842508990164
63.0,Perempuan,Pegawai swasta,Bengkulu,15426759.888141925,0,1,49.00343639289631,155.67121830883255,Merpati,0,SMA,0.5591065329028708
25.0,Laki-laki,PNS,Palangkaraya,8063104.796988315,0,0,49.92023173463464,154.98570211669573,Merpati,0,S1,0.32810085867192823
35.0,Laki-laki,PNS,Manado,5319815.648115633,0,1,50.130420163626226,159.6612466021424,Shoulder & Head,0,S1,0.6147738964258543
40.0,Laki-laki,PNS,Jayapura,7273595.193790183,1,0,58.531887334354195,165.59610627752795,Deadbuoy,0,SMA,0.4643373614408522
27.0,Laki-laki,Pegawai swasta,Mamuju,9234655.124562772,0,0,50.89651906124624,162.30019115196563,Moonsilk,1,S2,0.3112046925480513
44.0,Laki-laki,PNS,Serang,9069136.141201884,1,1,59.39560226891196,156.8529592344449,Deadbuoy,1,SMA,0.9065270611709598
38.0,Laki-laki,PNS,Samarinda,4149900.8301075967,0,1,57.50623092829984,166.80427459562821,Pantone,1,S2,0.800140678829397
35.0,Laki-laki,Pegawai swasta,Kupang,6119932.265886376,0,0,62.69333674623276,167.52599057680206,Shoulder & Head,0,S2,0.2757712470125314
47.0,Laki-laki,PNS,Palangkaraya,2920244.793914807,0,1,53.70002961283473,162.79439199907802,Deadbuoy,0,S1,0.7369285059621413
47.0,Laki-laki,Pegawai swasta,Palembang,15254576.725529924,1,1,44.49676593356284,156.42530558273614,Shoulder & Head,1,S1,0.8276687843142749
62.0,Laki-laki,Freelance,Palu,9605374.232695647,0,0,58.400637924297286,160.31332941286124,Deadbuoy,1,S1,0.3603281954496557
42.0,Laki-laki,Pegawai swasta,Tanjungselor,23595926.234800138,1,0,54.429016199634724,163.98191853249898,Moonsilk,0,S1,0.40381543924944924
32.0,Perempuan,Freelance,Bandung,4775605.152880099,0,0,53.53237614206378,157.04898667700797,Pantone,1,S1,0.1511709155022683
35.0,Laki-laki,PNS,Kupang,7948653.19649308,1,0,60.609108139173514,163.13448538104447,Deadbuoy,1,S1,0.48977986123950124
29.0,Perempuan,Pegawai swasta,Pontianak,4643611.671712585,0,0,53.29163509546302,162.78478406988575,Merpati,1,S1,0.1866189276882506
15.0,Laki-laki,PNS,Ambon,8412295.584469825,1,1,63.874652540589885,165.9564291031276,Moonsilk,1,S1,0.8099507385704039
40.0,Perempuan,Pegawai swasta,Semarang,9572479.903511804,1,1,54.539368279056404,156.55255449820777,Moonsilk,1,S1,0.5636260825883616
41.0,Laki-laki,Freelance,Bengkulu,4291321.040452024,0,0,67.03909878047209,163.98465525186907,Shoulder & Head,1,S1,0.2963678799554519
41.0,Laki-laki,Pegawai swasta,Samarinda,8675984.870361239,0,0,48.718619130184166,154.033106647787,Moonsilk,0,SMA,0.30960890765740795
58.0,Perempuan,Freelance,Banda Aceh,5039988.863578998,0,0,74.25399153138405,164.65186464698832,Deadbuoy,1,S1,0.41696619642603655
35.0,Perempuan,Pegawai swasta,Ambon,6028195.048059742,1,1,49.00950731822762,161.55408661043546,Merpati,1,S1,0.616459919837668
44.0,Laki-laki,PNS,Palangkaraya,5794008.567145523,0,0,58.04694202483162,157.33151862287022,Merpati,1,S1,0.5306686637990972
49.0,Laki-laki,Pegawai swasta,Medan,7014223.3134808345,0,0,56.50432920278459,160.67666256820684,Shoulder & Head,0,S1,0.32826472279466684
52.0,Laki-laki,PNS,Bengkulu,6016031.224422018,1,1,64.03875169420003,165.60023309270846,Pantone,1,S1,1.0
63.0,Perempuan,Pegawai swasta,Samarinda,7378580.069592854,1,0,44.851118365680485,149.80959799535478,Merpati,1,S1,0.4979677143777623
41.0,Laki-laki,PNS,Bandung,22465853.73285211,1,0,56.9237886478017,150.7849231467701,Merpati,1,S2,0.6585804142319637
58.0,Laki-laki,Pegawai swasta,Palu,5844370.57295748,1,0,68.53197566848716,164.74494916196582,Deadbuoy,0,S1,0.5098013796131183
55.0,Laki-laki,Pegawai swasta,Kupang,6469777.75312615,1,0,48.548231900696685,145.25545869287564,Merpati,1,S1,0.6089221473218894
48.0,Laki-laki,PNS,Kupang,13663570.099468753,0,0,70.45983709506572,155.62746760182915,Deadbuoy,0,SMA,0.42691061814635156
33.0,Perempuan,Pegawai swasta,Banda Lampung,8857206.05473374,0,0,46.115013614269486,156.59341421035018,Deadbuoy,1,SMA,0.10989565715223341
21.0,Perempuan,PNS,Semarang,4980444.021308439,1,0,48.90970278038618,155.17333294267084,Moonsilk,0,S1,0.3623987857587139
37.0,Perempuan,Pegawai swasta,Banda Aceh,7486352.780494309,0,1,58.08859159971905,157.97757532388377,Deadbuoy,0,S1,0.3683563316921386
41.0,Perempuan,Pegawai swasta,Bandung,6357407.405894535,1,0,74.78670505546947,167.4066589024712,Pantone,0,SMP,0.3200937171313991
33.0,Perempuan,PNS,Ambon,6610185.033606669,0,0,53.804320467927,157.80196283772,Pantone,1,SMP,0.27716242324836277
37.0,Laki-laki,PNS,Tanjung Pinang,7666014.863102993,0,0,65.75951443673588,157.34899633343113,Shoulder & Head,0,S1,0.3642695542057611
26.0,Laki-laki,Pegawai swasta,Mamuju,5778532.835253281,0,0,50.147696991380165,152.85148123361725,Moonsilk,0,SMA,0.19876103578521517
50.0,Laki-laki,Freelance,Padang,6569794.686371021,0,0,50.77498003888353,153.90322316079795,Moonsilk,1,S1,0.3526631935964923
32.0,Laki-laki,Pengangguran,Banda Lampung,3910713.2527667806,0,0,60.7521324994585,161.48558575073793,Merpati,1,SMA,0.6645504025444312
31.0,Perempuan,Freelance,Medan,10371933.367081316,0,1,60.135932986061725,160.5723948663209,Shoulder & Head,1,SMA,0.4466080216780743
56.0,Laki-laki,Pegawai swasta,Semarang,3994002.9280722644,0,1,83.14334029305951,170.0009924729692,Deadbuoy,0,S1,0.7937690342542196
46.0,Laki-laki,Pegawai swasta,Surabaya,5537911.944183201,0,0,73.01975296697225,157.84493777694698,Pantone,0,S1,0.3754122268036899
46.0,Laki-laki,PNS,Kendari,5266733.400552547,0,0,75.35988088481324,166.6314128442848,Deadbuoy,1,S1,0.519982717301163
24.0,Laki-laki,Freelance,Denpasar,7304225.753379414,1,0,54.60074233102556,150.04028993149748,Moonsilk,1,SMA,0.2801396155950413
19.0,Laki-laki,Pegawai swasta,Banda Lampung,5548562.283348907,0,0,50.02963085436937,157.53607628260878,Shoulder & Head,0,S1,0.21163067442245237
28.0,Perempuan,Pegawai swasta,Medan,4247557.023477842,1,0,60.38387590615824,162.6892088068651,Deadbuoy,1,S1,0.34482685008399816
59.0,Perempuan,Pegawai swasta,Makassar,8383566.52690409,1,0,59.009116199315315,158.65253763918795,Moonsilk,1,S1,0.512724853172555
37.0,Perempuan,Pegawai swasta,Ambon,7712692.0497017335,1,0,61.94616865766474,147.6924786994585,Shoulder & Head,0,S1,0.25934651621646543
54.0,Perempuan,PNS,Denpasar,5931204.25724471,0,0,84.51295186970648,169.3977268723289,Merpati,0,SMA,0.4303326481477943
44.0,Laki-laki,Pegawai swasta,Mataram,4141573.028072747,0,0,55.2328433427933,160.83309030072365,Pantone,1,S1,0.48368671206886993
54.0,Laki-laki,Pegawai swasta,Tanjungselor,3410614.884741642,0,0,43.53540100524028,152.9702283592992,Moonsilk,0,SMA,0.44676240286292157
29.0,Perempuan,Freelance,Ambon,9055695.018116843,1,0,55.45009973526874,157.98457610126772,Merpati,1,SMP,0.16334716266201615
45.0,Laki-laki,Freelance,Yogyakarta,3629304.386937979,1,1,48.835264135140044,147.8191224166441,Moonsilk,1,S1,0.7062283570302151
33.0,Perempuan,Pegawai swasta,Padang,7485219.800149052,0,0,61.81053524970473,167.27724523809937,Merpati,1,S1,0.2440793321770529
62.0,Laki-laki,PNS,Kendari,8636843.774760492,0,0,58.17057213569274,159.21025932914887,Pantone,0,S1,0.5350809504265761
60.0,Perempuan,PNS,Banjarmasin,7927482.606409629,0,1,47.0317120178817,153.9249898399403,Merpati,1,S1,0.7912653748517228
44.0,Laki-laki,Pegawai swasta,Semarang,5132783.980224043,0,0,48.92878020620215,143.25552513490572,Merpati,0,SMA,0.31846196834046586
32.0,Perempuan,Pegawai swasta,Ambon,10988346.568243442,1,0,60.02521419833311,165.97728856184258,Pantone,0,S1,0.15209841455516418
43.0,Laki-laki,PNS,Bandung,8109392.794485186,1,1,50.37021363545472,146.60378465630248,Deadbuoy,0,S1,0.7724547877994306
30.0,Laki-laki,Pegawai swasta,Banda Aceh,11660071.549977904,1,0,70.03599893931342,165.79362536519102,Moonsilk,1,S1,0.5455338743984564
41.0,Laki-laki,PNS,Jambi,4609099.093887064,0,1,60.84574401500028,160.46448630560147,Merpati,0,SMA,0.707731430601644
47.0,Laki-laki,Pegawai swasta,Jayapura,4548388.2739603035,0,0,61.872443046965415,161.27752337430462,Shoulder & Head,0,SMA,0.2365409381858914
38.0,Perempuan,PNS,Mataram,4882846.953999935,1,0,58.911595191616755,157.85021581089217,Merpati,0,S1,0.21937962991343885
